image,GT数,漏检FN,误检FP,漏检类,误检类
18203.jpg,14,6,11,pl30 pl60 po po po po,po pne p26 p12 p26 pl30 po p26 p6 po pr40
31493.jpg,11,8,3,pl20 ph5 pl5 pl5 pl5 ph5 ph5 ph5,pl5 pl5 pl5
12467.jpg,10,5,5,ph5 pl5 pl5 ph5 ph5,pl5 pl5 pl5 pl5 io
64400.jpg,4,0,10,,pn p26 pn po pl40 p11 p11 po i4 pne
82508.jpg,8,5,5,pl70 pl50 pl40 io i2,pn pne i4 pl40 pl40
83118.jpg,5,1,9,pl80,pn p26 p11 io po po io pl40 i5
22693.jpg,8,6,3,pl5 pl5 pl20 pl5 pl5 ph5,pl5 pl5 pl70
42905.jpg,6,4,5,po po po pl30,ph4.5 p26 p26 ph4 pl40
49324.jpg,2,1,8,il60,pl100 pl100 pl100 il80 il80 il80 il100 il100
53500.jpg,5,3,6,pl60 pl40 pl30,po po p26 p10 pl40 pl5
55241.jpg,12,4,5,pl100 il80 pl80 pl80,il60 pl120 il60 pl100 il80
8012.jpg,9,2,7,pl60 i2,pn pl50 i2 i4 pn po pl50
94307.jpg,6,3,6,pne i5 pl60,pn io p11 io pl40 pl60
10189.jpg,3,3,5,pn p3 p27,p26 pne p26 p26 p26
4902.jpg,8,7,1,i5 pn p10 p26 p27 po i5,pl5
56587.jpg,10,6,2,pl40 po pl70 pl50 io i2,pl40 pl40
61383.jpg,7,4,4,pg i4 i2 p12,io io io p6
65090.jpg,9,2,6,il100 pl80,p3 p26 il60 pl100 il80 il80
16921.jpg,7,3,4,pl70 po i2,io io p27 pl60
20605.jpg,4,2,5,pl30 i4,i5 i5 i5 pl60 i5
23842.jpg,6,4,3,pl60 p26 po po,pn p12 po
29297.jpg,7,4,3,pne p10 pn pl30,io p26 io
31755.jpg,5,4,3,w57 pl30 p12 p6,pl50 po p11
51875.jpg,9,6,1,pl5 pl5 pl5 pl5 ph5 ph5,io
55359.jpg,6,0,7,,p11 ph5 ph5 p3 pl5 po p6
67226.jpg,7,3,4,pl50 p11 po,i4 i2 pn pl40
75067.jpg,5,1,6,po,p11 p5 p11 ph4.5 ph4 pl30
81474.jpg,5,2,5,pl120 il100,pl100 p26 pl100 il80 il80
90633.jpg,4,3,4,p12 w55 pl30,po pl40 pl60 w13
12229.jpg,2,1,5,w13,pn pl30 w57 pl50 w55
13527.jpg,4,4,2,po p11 po po,pl5 pl5
143.jpg,4,2,4,pl60 p3,io p26 io pl40
24019.jpg,9,2,4,pl100 pl80,il60 pl100 il60 pl100
24804.jpg,7,2,4,p10 io,io i5 io pl5
30328.jpg,6,2,4,po p26,po p12 p6 p10
31082.jpg,2,1,5,p10,pn p26 p26 p26 p26
36393.jpg,6,3,3,pl5 pl5 pl5,io pl5 pl5
40022.jpg,7,1,5,pl50,i2 pn i5 i4 pl40
43248.jpg,6,3,3,i2 po po,i2 p11 pl40
45495.jpg,2,0,6,,pn i4 i2 p11 i4 pl40
4710.jpg,6,4,2,il80 pl100 il60 il60,pl80 pl80
48103.jpg,5,2,4,pl50 p11,pne i5 pl40 pl50
52252.jpg,4,3,3,pm55 p12 pne,pl5 p11 ph4
56576.jpg,5,2,4,p12 p6,pl50 po po w13
64834.jpg,2,0,6,,pn p11 p11 pl5 pl5 pn
69700.jpg,7,3,3,pl80 pl50 ph4,pl100 il60 pl40
73110.jpg,9,1,5,pl100,il60 pl100 il80 pl80 pl100
79556.jpg,3,3,3,pl120 pl100 pl80,pl40 ph4 pl70
81000.jpg,9,3,3,pl70 pl50 p10,io po i2
81264.jpg,4,0,6,,pn p26 i4 p11 pl40 po
81686.jpg,3,2,4,i4 i2,pn p11 p11 pl50
83879.jpg,5,2,4,pl50 ph5,p26 pl40 i2 pl60
85447.jpg,12,1,5,pl80,il60 pl80 il60 pl100 il80
85822.jpg,9,5,1,pl70 pl40 io i2 p10,io
91569.jpg,6,4,2,p11 pl60 w55 po,p26 p26
91731.jpg,5,1,5,pl50,pne ip i5 pl40 io
91792.jpg,5,2,4,po p26,pn p11 pl40 i5
93103.jpg,7,1,5,po,ph4.5 p3 pl70 w59 ph5
94665.jpg,5,1,5,ph5,pm55 io w57 ph4.5 po
9652.jpg,3,0,6,,p11 pn pl50 po po p26
98793.jpg,5,5,1,pl100 il80 pl100 pl120 pl60,pl60
13.jpg,4,2,3,w55 w55,w13 w57 w32
1507.jpg,2,1,4,pne,pn i2 i4 pl50
15332.jpg,7,2,3,i4 i5,ph4.5 i2 i2
1556.jpg,2,1,4,po,io io p26 p11
18073.jpg,2,1,4,p6,po p26 po po
18087.jpg,5,3,2,pl120 p26 pl100,il60 pl80
18935.jpg,8,1,4,pl70,i2 io p10 pl60
20038.jpg,11,1,4,pl100,pl100 il80 il60 pl80
20224.jpg,4,2,3,po po,pl80 p11 p26
20982.jpg,2,2,3,pm30 pm30,ph5 pl40 p26
21032.jpg,6,0,5,,pl100 pl80 pl100 pl80 il60
26401.jpg,1,1,4,p23,pn p5 pn pl50
27009.jpg,5,2,3,p6 pl30,p11 pl80 pl60
28410.jpg,4,2,3,po pl60,ph4 p26 po
29501.jpg,1,0,5,,p11 p11 p12 ph4.5 po
30205.jpg,6,3,2,p12 p6 i5,po po
31784.jpg,7,3,2,po p10 p11,p26 il100
3448.jpg,6,3,2,p26 p11 po,p26 io
37039.jpg,6,2,3,il60 il80,il100 il100 il80
39493.jpg,1,1,4,p12,pne po po p11
42515.jpg,9,1,4,pl70,pl50 io pl40 i2
45259.jpg,4,1,4,pl80,p26 po po ph5
45417.jpg,6,0,5,,po ph4.5 pl60 ph4 pl40
4620.jpg,4,2,3,i4 pl50,i4 i2 pne
47948.jpg,6,2,3,pl40 ph5,pl70 po pl60
48010.jpg,9,5,0,pl40 p11 pn pn i4,
52429.jpg,4,2,3,pl60 pl60,pl40 pl80 pl30
52777.jpg,12,1,4,pl100,p26 pl120 il60 pl100
56997.jpg,6,2,3,po po,p11 pn pl40
58531.jpg,5,1,4,p27,io p11 io po
59076.jpg,5,2,3,p11 pl70,io i5 pl5
61958.jpg,2,1,4,p11,po p10 pl40 ph4
63771.jpg,6,2,3,pl50 p11,po pl30 pl80
64371.jpg,7,1,4,po,ph4.5 pm20 ph5 po
65785.jpg,4,3,2,p11 i2 p12,po io
68158.jpg,5,3,2,ph4 p12 pl60,ph4.5 ph5
69211.jpg,5,3,2,i2 i4 p12,i5 io
69241.jpg,7,2,3,il80 pl100,il60 il80 pl80
6999.jpg,12,1,4,il80,pl100 il60 p3 il80
70050.jpg,4,2,3,pl50 io,pne pl40 i5
70719.jpg,1,1,4,p26,pn p11 io p11
7153.jpg,5,0,5,,pn i5 i5 i4 i5
71807.jpg,9,1,4,pl100,pl80 il80 w59 pl100
72147.jpg,2,1,4,po,p5 w57 w57 wo
739.jpg,9,0,5,,p26 il60 pl100 pl100 pl80
76837.jpg,4,3,2,p10 p26 po,pl5 pl5
79464.jpg,2,0,5,,pn p11 i4 i2 pl40
79595.jpg,4,3,2,po po po,pl5 pl5
83878.jpg,3,1,4,p6,po po ph5 io
89304.jpg,7,2,3,p26 pne,po po p10
90520.jpg,5,1,4,i4,pn p11 i5 i4
9401.jpg,8,2,3,pl50 p10,io pl60 io
94825.jpg,3,2,3,w55 pl30,pl40 pne pl60
9994.jpg,1,1,4,p11,pm30 po po pl30
11381.jpg,5,1,3,p6,po po p11
11623.jpg,5,2,2,pl60 p23,pl40 po
11993.jpg,1,0,4,,pn po po pl40
13143.jpg,4,2,2,pl30 p19,p23 pl80
