class,AP@0.5,AP@0.5:0.95,GT实例数(test)
wo,0.6511870082408696,0.4791995851523375,38
p6,0.7848426168101631,0.6262028802893221,39
ph4,0.8188520526529166,0.6923404163876278,37
w59,0.8330931345623052,0.6427018998722672,58
po,0.8559189017029597,0.6574437595481701,389
ph5,0.8560449666278451,0.6875583998457564,40
w13,0.8606356467626664,0.6455128582844206,31
p10,0.8715227075769698,0.6790620183424497,87
w55,0.8861492651028919,0.6648720828010236,60
p12,0.8938005853357075,0.7469589957403899,66
p3,0.8976162281876153,0.7921355689845917,58
i2,0.9007782132702038,0.6935234723293802,142
pm20,0.9045990473824609,0.7681392001584815,49
w32,0.906388319778786,0.6329381147536806,34
pm30,0.9161208024538597,0.7936583332598733,32
ph4.5,0.9190096866733084,0.7643776983009284,60
ip,0.9225695516576496,0.5423285550152379,128
pl20,0.9232333150742286,0.7188818811845411,56
io,0.9242479107586334,0.7117348787039677,266
pl50,0.9307778125482531,0.7011202121817236,340
pl70,0.9331143636621645,0.7229158965624392,44
p23,0.9345939863488446,0.7851160425957869,103
p5,0.9361536227695871,0.7821250568458248,118
pl30,0.9390447427713325,0.7724614718319633,205
p19,0.9400713950439501,0.8005836519700658,33
pl60,0.9402743032085094,0.7919273009839741,274
p26,0.9407803756166369,0.7765712328871042,241
pg,0.9429729421772942,0.7150078411537389,43
pl5,0.9459406729048043,0.7141470378821022,203
p11,0.9495369800817525,0.695614571685106,497
pm55,0.9505417810090104,0.8242813006149549,38
pl40,0.9509693777162763,0.741476729778998,445
pl80,0.9580347593113725,0.8075807494775729,274
w57,0.9585266644533053,0.7150971723642092,122
pn,0.965915594636752,0.7351337893755757,965
il80,0.9679293733216432,0.8349239350354045,96
i5,0.9725367920966403,0.7054143365529006,504
pne,0.9727922064801996,0.6918545459388838,660
i4,0.9729821200217361,0.6991938948411154,231
il100,0.9796654158849283,0.8348659222713367,39
pl100,0.9849690801214985,0.8532893422877056,216
il60,0.9890235305335947,0.8311530825153044,140
p27,0.9890666666666668,0.817396826490261,47
pl120,0.9899997622868923,0.8862836426632038,87
pr40,0.9908581440429444,0.8975950212489672,63
