category,count,selected
pn,2997,1
pne,2249,1
i5,1663,1
p11,1485,1
pl40,1346,1
po,1131,1
pl50,1031,1
pl80,875,1
io,854,1
pl60,810,1
p26,759,1
i4,733,1
pl100,671,1
pl30,588,1
pl5,498,1
il60,483,1
i2,440,1
p5,396,1
w57,393,1
p10,335,1
ip,319,1
pl120,296,1
il80,295,1
p23,271,1
pr40,199,1
w59,185,1
ph4.5,182,1
p12,177,1
p3,170,1
w55,169,1
pm20,156,1
pl20,155,1
pg,149,1
pl70,147,1
pm55,136,1
il100,132,1
p27,131,1
w13,129,1
p19,123,1
ph4,120,1
ph5,114,1
wo,111,1
p6,108,1
pm30,107,1
w32,105,1
w30,92,0
pl15,89,0
w63,88,0
il90,77,0
ps,76,0
p1,71,0
i10,69,0
w58,69,0
pb,65,0
p9,61,0
pa14,60,0
w22,60,0
pl90,55,0
w21,55,0
pr60,52,0
p25,49,0
pr30,49,0
pm10,48,0
p14,48,0
pl110,44,0
w47,42,0
p18,40,0
p22,39,0
pl10,38,0
pr50,36,0
w16,35,0
il50,33,0
p17,32,0
pr20,32,0
ph4.2,30,0
pm15,30,0
w42,27,0
ph3,25,0
pa13,25,0
w15,22,0
pl35,21,0
il110,21,0
w3,21,0
w45,21,0
ph3.3,20,0
p16,20,0
pr70,18,0
i13,17,0
i12,17,0
p2,16,0
ph2.8,15,0
pm5,15,0
pw3.2,15,0
w24,15,0
il70,14,0
w34,14,0
ph2.5,14,0
w20,14,0
w18,13,0
ph2.2,13,0
p8,13,0
ph2,12,0
pa10,11,0
pr80,11,0
pm50,11,0
ph4.8,11,0
w26,9,0
ph3.5,9,0
pm8,9,0
pw4,9,0
pm25,9,0
w46,8,0
i3,8,0
pm40,8,0
pl25,8,0
i1,7,0
w43,7,0
w8,7,0
pm2,7,0
w41,7,0
pm46,6,0
i15,6,0
ph4.3,6,0
p13,6,0
pm35,5,0
p15,5,0
i14,5,0
ph5.3,4,0
pw3,4,0
w10,4,0
w66,4,0
p4,4,0
w37,4,0
pl0,3,0
pa12,3,0
w35,3,0
w50,3,0
i11,3,0
p28,3,0
w31,3,0
pw4.5,3,0
ph2.4,3,0
ph2.6,3,0
w38,3,0
pr45,2,0
ph2.9,2,0
ph3.2,2,0
p21,2,0
p20,2,0
pc,2,0
pm1.5,2,0
ph1.5,2,0
w12,2,0
ph5.5,2,0
pr100,2,0
pw3.5,2,0
pm13,2,0
pl65,2,0
w44,1,0
pm2.5,1,0
pa8,1,0
w28,1,0
ph2.1,1,0
p24,1,0
p7,1,0
pl4,1,0
w49,1,0
w5,1,0
pw2.5,1,0
pn40,1,0
pl3,1,0
w56,1,0
w48,1,0
pr10,1,0
w60,1,0
pw4.2,1,0
pw2,1,0
w2,1,0
w1,1,0
w62,1,0
ph4.4,1,0
ph3.8,1,0
